respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,sns2a,sns2b,sns2c,sns2d,sns2e,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
100032,2,1,190109,1,2,31,1,9003,S,2,2,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,2,2,1,2,1,1,2,2,2, , ,2, ,3,1,1,2,98,1,2,2,32,1,3,1,2,3, , , ,3, ,4,4,1,5,2, , ,2,1.4924377,1.3527852
100033,2,1,190109,1,1,36,1,36113, ,2,1,2,2, ,2,2, , , ,1,3,2,2,2,1,1,2,2,2, ,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,72,5,2,4,2,1, , , ,1, ,1,9,9,9,9, , ,9,1.1566999,1.3775262
100034,2,1,190109,1,1,9,4,9009,U,2,1,2,1,3,1,1,2, , ,2, , , , , , , , , , , ,2,2,1,1,1,2,2,2,2, , ,1,2,1,2,2,1,4,2,1,2,52,6,2,6,1,7, , , ,5,2,2,2, ,3,3, , ,2,1.4389394,1.3348296
100035,2,1,190109,1,1,25,4,25025,U,2,1,2,2, ,2,2, , , ,2, ,2,2,2,2, ,1,2,1,doesnt believe in it,6,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,8,1,2,2,45,1,5,1,2,1, , , ,1, ,6,3,1,2,2, , ,2,1.0337462,.865237
100036,2,1,190109,1,2,39,3,39113,S,2,1,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,2, ,2,1,1,2,25,2,2,1,69,1,6,3,2,1, , , ,1, ,7,3,2,2,2, , ,2,.4693595,.4860862
100038,2,1,190109,1,3,13,3,13121,S,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,1,1,2,2,2, , ,1, ,1,1,1,1,4,1,2,1,49,1,6,1,1,1,7, , ,4,1,9,3,1,7,1, , ,1,.3474053,.4768393
100043,2,1,190109,1,3,37,2,37057,R,2,2,1,1,3,1,2, , , ,1,1,1,2,1,2,2,1,2,2, ,1,2,2,1,2,1,2,2,2,2, , ,3, ,4,2,1,2,3,1,1,2,47,6,4,6,2,1,5, , ,4, ,2,5,1,1, , , ,2,2.2433447,2.0699671
100044,2,1,190109,1,3,51,2,51069,S,2,1,1,2,2,1,1,2, , ,2, , , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,2,1,2,0, , , ,62,3,6,3,1,1, , , ,1,1,5,2, ,1, , , ,1,.3474053,.3621883
100045,2,1,190109,1,3,12,3,12053,S,2,2,1,1,2,2,1,5, , ,8, ,1,2,2,2, ,1,2,2, , ,2,2,2,2,1,2,2,2,2, , , , ,5,2,2,2,0, , , ,65,5,4,3,2,1, , , ,1, ,5,2, ,1, , , ,1,.5475246,1.2356575
100046,2,1,190109,1,3,12,3,54003,S,2,2,1,1,2,1,1,8, , ,1,3,8,8,8,8,2,8,1,2, , ,2,2,1,2,1,8,2,1,8, , ,3, ,2,1,1,1,10,2,1,2,37,1,4,1,2,1, , , ,1, ,2,1, ,4,3, , ,1,2.076403,2.0091883
100047,2,1,190109,1,1,36,5,36061,U,2,1,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,1,1,1,2,1,2,2,1,2,5,4,2, ,5,1,1,2,2,1,2,2,60,6,7,5,2,1, , , ,1, ,99,3,2,1, , , ,1,.3474053,.4600206
100050,2,1,190109,1,3,51,1,54003,R,2,1,1,1,3,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,3,1,1,1,0, , , ,54,2,3,3,2,1, , , ,1, ,6,3,9,2,2, , ,2,1.3678843,1.1460797
100051,2,1,190109,1,1,9,4,9009,S,2,2,1,2,3,2,1,4, , ,1,2,8,8,1,2,1,1,2,2, ,8,1,2,2,2,1,2,2,1,2,3, , , ,5,1,1,2,0, , , ,69,1,4,2,2,1, , , ,1, ,8,1, ,2,2, , ,1,.6835112,1.123377
100052,2,1,190109,1,1,36,2,36075,S,2,1,1,1,1,1,1,2, , ,1,1, , , , , , , , , , ,2,1,1,2,1,2,2,2,2, ,1,1, ,3,1,1,2,6,1,2,2,50,1,6,3,2,1, , , ,1, ,6,1, ,4,4, , ,2,.6062074,.4880548
100054,2,1,190109,1,3,24,3,24021,S,2,1,1,1,2,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,97,1,2,1,82,4,6,3,2,1, , , ,1, ,3,3,2,2,2, , ,2,.4908772,.5137221
100055,2,1,190109,1,1,42,3,42003,S,2,1,1,1,3,1,1,2, , ,1,1, , , , , , , , , , ,2,1,1,1,1,1,2,2,2, ,5,4,3,2,2,1,1,4,1,2,2,25,6,3,1,1,2,7, , ,4,1,4,3,1,1, , , ,2,.8766684,.7280953
100058,2,1,190109,1,3,24,4,24031,S,2,2,1,1,1,2,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,1,2, , ,5, ,1,1,1,1,97,1,2,1,29,6,5,4,2,4, , , ,4, ,1,3,2,3,3, , ,1,2.2433447,2.0699671
100059,2,1,190109,1,3,21,1,21133,R,2,1,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,1,2,1,2,1,2,2,2,2,2, ,1, ,3,1,1,1,5,1,2,1,56,1,4,1,2,1, , , ,1, ,7,1, ,3,3, , ,1,.6820161,.6348617
100060,2,1,190109,1,3,45,3,45079,S,2,1,1,1,1,1,2, , , ,1,3,2,2,2,2,1,2,2,2, , ,2,1,1,1,1,2,2,2,2, ,2,1,3,3,1,1,2,2,1,2,2,45,6,3,1,2,2, , , ,2, ,7,2, ,3,3, , ,2,1.7355285,1.6986472
100061,2,1,190109,1,3,45,3,45045,S,2,1,1,1,1,1,1,2, , ,1,2, , , , , , , , , , ,1,1,1,1,1,1,2,1,1,2,4,2,4,2,1,1,1,5,2,1,1,99,9,6,1,2,3, , , ,3, ,99,3,9,9,9, , ,2,.6893971,.5248356
100062,2,1,190109,1,2,39,4,39153,S,2,2,1,2,2,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,1, ,3,2,1,2,97,1,2,2,83,5,4,3,2,1, , , ,1, ,4,2, ,1, , , ,1,.4961066,1.0552013
100063,2,1,190109,1,1,36,5,36059,S,2,2,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,1,2,1,2,1,2,2,1,2,5, ,3, ,3,2,1,1,20,1,2,1,64,1,6,5,2,1, , , ,1, ,3,2, ,2,2, , ,1,.7510943,.9346601
100066,2,1,190109,1,3,12,3,12083,U,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,2,1,2,7,1,1,1,25,6,3,1,2,1, , , ,1, ,3,5,8,3,3, , ,2,1.2689948,.9520058
100067,2,1,190109,1,3,12,2,9003,S,2,2,1,1,1,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,2,2,1,2,2, , ,3, , ,1,1,1,24,1,2,1,52,1,7,3,2,1, , , ,1, ,99,1, ,2,2, , ,2,.9210927,.7734815
100069,2,1,190109,1,3,24,3,24025, ,2,1,2,1,5,2,2, , , ,2, ,8,2,2,2, ,2,8,1,"I live in assisted living, watch tv and lay in bed", ,2,2,1,2,2,2,2,2,2, , ,5, , ,2,1,2,0, , , ,88,5,4,3,2,1, , , ,1, ,1,3,1,9,9, , ,1,.7476859,.9584066
100070,2,1,190109,1,2,26,3,26081, ,2,1,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,2,1,1,2,1,1,2,1,2, ,3,3, ,3,1,1,1,10,1,1,1,39,1,7,1,2,1, , , ,1, ,8,3,9,5,3, , ,2,.7084264,.6147414
100071,2,1,190109,1,2,39,1,39047,R,2,1,2,2, ,2,1,2, , ,1,2, , , , , , , , , , ,1,2,1,2,1,2,2,2,2,3, ,1, ,1,1,1,2,6,2,1,2,66,1,3,3,2,1, , , ,1, ,3,2, ,5,4, , ,2,1.1469254,1.2939267
100072,2,1,190109,1,3,48,1,13089,U,2,1,1,1,3,1,2, , , ,1,1,1,2,2,2,1,1,1,2, ,3,2,2,1,2,1,2,2,2,2, , ,1, ,3,2,2,2,6,2,1,2,43,2,3,4,2,2, , , ,2, ,7,2, ,2,2, , ,2,1.7450865,1.5282159
100074,2,1,190109,1,1,42,4,42003,U,2,1,1,1,2,2,1,2, , ,1,3, , , , , , , , , , ,2,2,2,2,1,2,1,2,2, , , , ,3,1,1,2,97,1,2,1,51,6,7,1,2,1, , , ,1, ,7,3,2,1, , , ,2,.5493419,.4435775
100076,2,1,190109,1,2,31,4,51153,U,2,1,1,1,3,2,2, , , ,1,1,1,1,1,2,1,2,2,1,"He's interested in bundling, and he works outside all day, and doesnt use the internet until evening.",6,2,2,2,2,1,2,2,2,2, , , , ,3,1,2,1,0, , , ,51,1,4,1,2,5, , , ,5, ,5,4,8,4,2, , ,2,1.540845,1.2375253
100077,2,1,190109,1,2,26,3,26161,U,2,2,1,1,2,1,1,3, , ,1,2, , , , , , , , , , ,1,1,1,2,1,2,2,1,2,2,3,2, ,2,1,1,2,2,1,2,2,70,2,4,3,2,1, , , ,1, ,9,2, ,3,3, , ,1,.814601,1.1691845
100078,2,1,190109,1,3,45,3,45079,S,2,1,1,1,2,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,2,1,2,2,61,4,4,2,2,1, , , ,1, ,2,3,1,2,2, , ,2,.7525738,.647114
100079,2,1,190109,1,2,39,4,39095,U,2,1,1,1,4,1,2, , , ,2, ,1,2,2,2, ,1,2,2, , ,2,2,1,1,1,2,2,2,2, , ,3,5,3,1,1,2,90,1,1,1,38,6,6,5,2,1, , , ,1, ,3,3,8,1, , , ,2,.6713255,.5548106
100081,2,1,190109,1,1,36,3,36063, ,2,1,2,2, ,2,2, , , ,2, ,1,2,2,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,6,2,2,1,99,9,99,99,9,9, , , ,9, ,99,9,9,9,9, , ,9,.4048838,.3621883
100082,2,1,190109,1,3,12,2,12083,S,2,2,1,1,2,2,1,2, , ,1,3, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,1,2,2,70,9,6,3,2,1, , , ,1, ,99,2, ,1, , , ,1,.3558412,.6902364
100083,2,1,190109,1,1,42,5,42101,U,2,2,2,2, ,2,2, , , ,2, ,2,2,2,2, ,2,2,1,Just not interested, ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,25,1,2,2,73,5,3,3,2,1, , , ,1, ,3,1, ,4,4, , ,1,1.4685774,2.0699671
100084,2,1,190109,1,1,42,3,42069,U,2,2,2,2, ,2,2, , , ,1,8,2,2,2,2,2,1,2,1,Do not want it.,6,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,67,5,6,6,2,1, , , ,1, ,3,2, ,2,2, , ,2,.5275134,.7001994
100085,2,1,190109,1,3,24,3,13179,U,2,2,1,2,2,1,1,2, , ,2, , , , , , , , , , , ,1,2,1,2,1,2,2,1,2,4, ,2, ,3,2,1,2,3,1,2,1,54,3,7,3,2,1, , , ,1, ,9,2, ,4,4, , ,1,.8525482,.7789304
100086,2,1,190109,1,3,13,5,12011,U,2,1,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,1,1, , ,1, ,2,2,1,1,10,1,2,1,29,6,7,1,2,1, , , ,1, ,7,2, ,1, , , ,2,1.3427649,1.0214497
100087,2,1,190109,1,3,13,1,45079,R,2,1,1,1,4,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,2,1,1,0, , , ,22,6,4,1,1,1, , , ,1,1,4,1, ,1, , , ,2,1.1852882,.9196739
100088,2,1,190109,1,3,13,4,13121, ,2,1,1,1,1,1,1,2, , ,1,1, , , , , , , , , , ,1,1,1,2,1,1,2,2,2,5,5,1, ,1,1,1,1,5,2,2,1,38,1,1,1,1,1, , , ,1,1,99,9,9,9,9, , ,9,1.4582584,1.0896142
100089,2,1,190109,1,1,36,5,36061,U,2,2,9,1,1,1,1,2, , ,1,2, , , , , , , , , , ,2,1,1,2,1,2,2,1,2, ,1,1, ,3,1,1,2,3,1,2,2,54,3,6,4,1,1, , , ,1,1,4,2, ,2,2, , ,1,.9713032,1.1259202
100092,2,1,190109,1,3,51,4,51700,U,2,1,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,1,2,0, , , ,61,1,3,1,2,1, , , ,1, ,6,2, ,2,2, , ,1,.8824219,.8493946
100093,2,1,190109,1,1,36,5,36119,U,2,1,1,1,1,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,1,2,2,1,2, , , , ,3,1,1,1,10,1,2,2,61,1,6,1,2,1, , , ,1, ,9,9,9,4,2, , ,2,.5390795,.4600206
100095,2,1,190109,1,3,37,4,37063,U,2,2,1,1,2,1,1,2, , ,2, , , , , , , , , , , ,1,1,1,2,1,2,2,2,2,5,3,1, ,5,1,1,2,0, , , ,56,6,2,6,2,2, , , ,2, ,1,2, ,1, , , ,2,1.9752134,2.0699671
100097,2,1,190109,1,1,42,3,42095,S,2,1,1,1,4,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,4,1,1,2,25,1,1,2,64,1,8,1,2,1, , , ,1, ,6,2, ,2,2, , ,2,.4048838,.3621883
100098,2,1,190109,1,1,42,1,42039, ,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,1,2,1,1,2,2,2,2, ,2, ,1,2,2,1,1,2,1,2,2,18,6,3,4,2,3, , , ,3, ,98,3,9,2,2, , ,1,.9752466,1.0729192
100099,2,1,190109,1,3,54,2,54011,U,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,1,1,2,1,1,1,2,2, ,5,3, ,3,2,1,2,10,1,2,2,24,6,3,6,2,1, , , ,1, ,1,2, ,1, , , ,2,1.0670331,.7724762
100101,2,1,190109,1,1,36,3,36063,U,2,2,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,1,1,1,2,1,2,1,1,2,3,3,3, ,3,1,1,1,12,1,2,2,53,1,5,1,2,1, , , ,1, ,8,2, ,4,4, , ,1,1.3887876,1.4583761
100103,2,1,190109,1,2,29,3,29077,S,2,2,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,0, , , ,53,3,6,1,2,1, , , ,1, ,5,3,8,1, , , ,2,.8422078,.7370273
100105,2,1,190109,1,2,55,3,55133,U,2,1,1,1,2,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,2,1,2,2,74,1,6,2,2,1, , , ,1, ,8,1, ,1, , , ,1,.3474053,.4860862
100106,2,1,190109,1,2,46,2,46099,S,2,1,1,1,9,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,5,2,1,2,0, , , ,61,1,3,1,2,1, , , ,1, ,99,1, ,2,2, , ,1,.9310815,.8842876
100107,2,1,190109,1,2,29,4,29189,S,2,1,1,1,2,1,1,3, , ,1,2, , , , , , , , , , ,1,1,2,1,1,2,2,1,1,2,1, ,3,1,2,1,1,8,1,2,2,18,6,3,7,2,1, , , ,1, ,6,3,2,1, , , ,2,.9245538,.6643104
100108,2,1,190109,1,3,48,5,48201,U,2,1,1,1,2,2,1,2, , ,1,2, , , , , , , , , , ,2,2,2,2,1,2,2,1,1, , , , ,2,2,1,1,60,1,2,2,42,1,6,1,2,1, , , ,1, ,99,4,9,4,2, , ,2,.9864709,.8553626
100112,2,1,190109,1,3,40,4,40143,U,2,2,1,1,1,1,1,2, , ,1,2, , , , , , , , , , ,1,1,2,2,1,2,1,2,2,2,2, , ,4,1,1,2,18,1,2,2,68,1,6,3,2,1, , , ,1, ,9,1, ,2,2, , ,1,.4405172,.627334
100113,2,1,190109,1,3,48,2,48329, ,2,2,1,1,3,2,2, , , ,1,2,1,2,1,2,2,1,1,2, ,4,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,0, , , ,99,1,2,3,2,1, , , ,1, ,99,9,9,2,2, , ,9,1.5551403,1.7233015
100114,2,1,190114,1,2,20,3,20173,U,2,2,1,2,4,2,1,2, , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,1,1,2,80,9,6,3,2,9, , , ,9, ,9,3,8,9,9, , ,1,.4444852,.6577056
100115,2,1,190109,1,3,40,2,40143,S,2,1,1,2,3,1,1,1,1, ,2, ,1,2,1,2, ,1,2,2, ,4,2,2,1,2,1,2,2,2,2, , ,3, ,3,2,1,2,5,1,2,2,74,1,4,3,2,1, , , ,1, ,3,1, ,2,2, , ,1,.7818729,.9517022
100117,2,1,190109,1,3,48,5,48201,U,2,1,1,1,3,1,1,2, , ,2, , , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,5, , ,2,1,2,4,1,2,2,59,6,6,3,2,1, , , ,1, ,1,9,9,2,2, , ,1,.4750547,.4566696
100118,2,1,190109,1,2,17,2,17037,S,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,15,1,2,1,18,6,3,2,2,1, , , ,1, ,9,1, ,2,2, , ,2,1.0202598,.7309205
100119,2,1,190109,1,2,55,5,55079,U,2,2,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,2,1,1,1,1,2,2,2,2, ,3,1,2,2,1,1,1,0, , , ,32,6,3,4,2,2, , , ,2, ,2,1, ,5,1, , ,2,1.6987926,1.4034623
100120,2,1,190109,1,3,48,2,48139,S,2,1,1,1,2,1,2, , , ,1,3,2,2,2,2,1,1,2,2, ,3,2,2,1,1,1,2,2,2,2, , ,1,2,2,1,1,1,0, , , ,31,1,2,1,1,1, , , ,1,1,3,3,1,7,4, , ,1,.8373453,.6435812
100121,2,1,190109,1,2,29,2,17089,U,2,2,1,1,1,1,2, , , ,1,1,1,1,1,2,1,1,2,2, ,1,1,1,1,2,1,2,1,1,1,2,3,1, ,1,1,1,1,1,1,2,2,38,6,3,1,2,1, , , ,1, ,5,1, ,2,1, , ,2,2.2433447,2.0699671
100122,2,1,190109,1,3,1,2,1003,R,2,1,1,1,2,2,1,2, , ,1,3, , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,3,1,1,2,1,1,2,2,73,1,3,3,2,1, , , ,1, ,8,3,1,2,2, , ,1,1.1384544,1.3841323
100123,2,1,190109,1,3,48,5,48201,S,2,1,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,1,2,1,1,1,1,2,1,2,3, ,1,3,3,1,1,2,7,1,2,2,98,1,7,1,2,1, , , ,1, ,8,3,2,2,2, , ,1,.4750547,.4566696
100125,2,1,190109,1,2,31,3,31055,U,2,2,1,1,1,1,1,3, , ,1,1, , , , , , , , , , ,2,1,1,1,1,2,1,1,2, ,2,1,3,2,1,1,1,12,1,2,2,30,1,5,1,2,1, , , ,1, ,7,2, ,3,2, , ,2,2.2433447,2.0699671
100126,2,1,190109,1,2,19,1,19077,S,2,1,1,1,1,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,2,1,1,5,1,2,2,28,6,4,1,1,1, , , ,1,1,1,1, ,3,3, , ,2,1.2424424,.8442351
100130,2,1,190109,1,3,40,1,5131,R,2,1,1,2,4,1,1,2, , ,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,2,2,1,2,0, , , ,72,5,3,3,2,1, , , ,1, ,2,1, ,1, , , ,1,.7461504,1.3674915
100131,2,1,190109,1,3,40,2,40109,S,2,1,1,1,3,1,2, , , ,1,2,1,1,1,2,2,1,2,2, ,1,1,1,1,1,1,2,1,1,1,3,3,1,4,1,1,1,1,10,1,1,1,55,1,5,2,2,5, , , ,5, ,4,2, ,5,2, , ,2,1.3779116,1.039562
100132,2,1,190109,1,2,39,5,48201,U,2,2,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,5,3,1,5,1,1,1,2,60,1,1,1,57,1,8,1,2,1, , , ,1, ,9,3,1,3,3, , ,1,.8482665,.8779372
100134,2,1,190109,1,3,1,1,1013,R,2,2,2,1,5,2,1,2, , ,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,1,2,2,2,2,1,2,2,71,5,2,3,2,2, , , ,2, ,1,2, ,1, , , ,1,.7496715,2.0699671
100135,2,1,190109,1,3,12,4,17031,S,2,2,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,2,1,1,2,1,1,2,1,2, ,5,1, ,3,2,1,2,15,1,2,2,52,1,7,1,2,3, , , ,3, ,9,8,1,5,3, , ,1,1.1243129,1.1466191
100136,2,1,190109,1,2,19,1,19161,R,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,1,2,2,2,2,2, , ,2,2, ,1,1,2,10,1,2,2,26,1,6,1,2,1, , , ,1, ,4,1, ,2,2, , ,2,.902866,.7202074
100137,2,1,190109,1,3,40,4,40143,U,2,2,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,3, ,1,1,1,1,98,2,1,1,43,1,5,4,2,1, , , ,1, ,6,3,2,3,3, , ,2,2.032907,1.8133134
100139,2,1,190109,1,2,46,1,46101,R,2,1,1,1,2,1,1,2, , ,2, , , , , , , , , , , ,2,2,1,1,1,2,2,2,2, , ,2,2,3,2,2,2,0, , , ,48,3,3,2,2,5, , , ,5, ,3,2, ,1, , , ,2,1.9662823,1.7809256
100141,2,1,190109,1,2,17,3,17119,S,2,1,1,1,2,1,1,2, , ,1,4, , , , , , , , , , ,1,1,1,2,1,2,1,2,2,1,1,1, ,3,1,1,1,97,1,1,1,50,1,6,1,2,1, , , ,1, ,9,1, ,4,3, , ,1,.5563541,.4616651
100142,2,1,190109,1,3,12,5,12103,U,2,2,1,1,2,1,1,2, , ,2, , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,4,1,1,2,24,2,2,2,67,3,2,3,2,1, , , ,1, ,1,3,2,1, , , ,1,.9787459,2.0699671
100144,2,1,190109,1,2,27,5,27053,S,2,2,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,2,2,1,2,1,2,1,1,2, , ,1, ,2,1,1,2,98,1,2,2,64,6,8,1,2,2, , , ,2, ,7,2, ,1, , , ,1,.7258032,.8966889
100147,2,1,190109,1,2,55,3,55009,U,2,2,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,1,2,1,1,1,2,1,2,2,3, ,2,3,2,1,1,1,30,1,1,1,41,1,6,4,2,1, , , ,1, ,8,1, ,7,2, , ,1,1.0318647,1.0228452
100150,2,1,190109,1,1,36,5,36061,U,2,1,1,1,1,1,1,2, , ,1,1, , , , , , , , , , ,1,1,2,2,1,2,2,1,1,1,5, , ,4,1,1,1,3,1,2,2,59,6,6,1,2,1, , , ,1, ,8,2, ,1, , , ,2,.5390795,.4600206
100153,2,1,190109,1,2,18,3,18027,U,2,2,1,1,1,1,1,2, , ,1,3, , , , , , , , , , ,1,1,1,1,1,2,2,1,2,1,1,1,1,3,2,1,1,12,1,2,2,25,6,5,1,2,1, , , ,1, ,6,2, ,1, , , ,2,2.2433447,2.0699671
100154,2,1,190109,1,3,37,2,37023,U,2,1,1,1,2,1,1,2, , ,1,2, , , , , , , , , , ,1,2,1,1,1,2,2,1,2,5, ,2,4,3,1,1,1,8,1,2,1,45,1,5,1,2,1, , , ,1, ,6,3,1,4,3, , ,1,1.145003,.9450591
100155,2,1,190109,1,2,39,5,39049,U,2,2,1,1,1,1,2, , , ,1,1,1,2,2,2,1,1,2,2, ,3,1,1,1,2,1,2,2,2,2,3,3,2, ,2,1,1,2,3,1,2,2,70,5,6,3,2,1, , , ,1, ,5,3,2,3,2, , ,1,.5918065,.8659131
100156,2,1,190109,1,3,12,3,9011,S,2,2,1,1,1,1,1,2, , ,1,3, , , , , , , , , , ,2,2,1,1,1,2,1,2,2, , ,1,1,3,2,1,1,10,1,2,2,34,2,5,1,2,1, , , ,1, ,6,3,9,2,2, , ,2,2.2433447,2.0699671
100158,2,1,190109,1,2,26,3,26161,U,2,1,1,1,2,1,1,3, , ,1,2, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,2, , ,2,1,2,10,1,1,2,75,1,7,3,2,1, , , ,1, ,9,3,2,2,2, , ,1,.398855,.4860862
100159,2,1,190109,1,1,42,3,42041,S,2,1,1,1,3,1,1,2, , ,1,3, , , , , , , , , , ,2,2,1,2,1,1,2,1,2, , ,3, ,3,1,1,1,1,1,2,1,63,1,5,1,2,2, , , ,2, ,8,2, ,2,2, , ,1,.9497922,.9092071
100160,2,1,190109,1,1,25,3,25021,S,2,1,1,2,2,2,1,2, , ,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,1,2,1,2,1,2,2,1,77,1,4,3,2,1, , , ,1, ,99,2, ,3,3, , ,1,.8212227,.9654393
100161,2,1,190109,1,1,36,4,36059,S,2,2,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,2,2,1,2,1,2,2,1,2, , ,1, ,3,2,1,2,15,1,2,2,62,5,4,3,2,1, , , ,1, ,5,3,1,6,3, , ,1,.9797114,1.1389763
100164,2,1,190109,1,3,24,4,24031,S,2,1,1,1,2,1,1,2, , ,1,1, , , , , , , , , , ,1,1,1,2,1,2,2,2,2,4,4,3, ,2,2,1,1,13,1,1,2,42,1,7,1,1,1, , , ,1,1,99,2, ,3,2, , ,2,.5626691,.3946457
100165,2,1,190109,1,1,42,3,42071,S,2,1,1,1,2,1,1,2, , ,1,3, , , , , , , , , , ,1,2,1,2,1,2,1,1,2,1, ,2, ,3,1,1,1,96,2,1,2,47,1,7,1,2,1, , , ,1, ,7,3,9,6,3, , ,1,.5610957,.4914929
100167,2,1,190109,1,3,47,1,47079,R,2,1,1,1,1,1,1,2, , ,1,2, , , , , , , , , , ,1,1,1,2,2,2,1,2,2,1,2,1, , ,1,1,2,24,1,2,2,54,1,5,3,2,1, , , ,1, ,6,1, ,2,2, , ,1,.9000761,.9336972
100170,2,1,190109,1,3,5,1,5069,U,2,2,2,2, ,2,2, , , ,2, ,1,2,1,1, ,2,2,2, ,1,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,1,1,2,2,52,5,3,6,2,1, , , ,1, ,2,4,8,2,2, , ,2,1.6589814,1.6605338
100171,2,1,190109,1,3,12,1,12063,R,2,1,1,1,2,1,1,3, , ,1,2, , , , , , , , , , ,1,1,1,2,2,2,2,2,2,9,4,1, , ,1,1,1,8,1,1,1,56,4,4,3,2,1, , , ,1, ,7,1, ,4,2, , ,2,.7046315,.6348617
