CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
739,EN,1,2,2,3,1,0,0,0,0,0,3,1,1,1,0,1,1,0,1,2,1,1,3,4,4,2,1,1,1,1,1,1,0,0,0,4,3, , , , , , , , , , , , , , , , ,3,2,4,1,2,1,1,0,0,0,0,0,0,2,3,2,3,3,3,3,3,2,2,1,1,3,4,3,3, , , , , , ,1,3,1,2,1,3,3,1,1,1,0,0,0,1,0,0,1,4,1,3,3,1,2,1,98, , , , , , , , , , , , , , , ,2,1,1,1,4,4,4,3,4,4,0,0,0,0,1,0,0,4,1,3,1,1,1,1,16,13,1,1,1,14,0,4,1,3,5,0,0,1,2,2,20180322,13.45,2,2,Smartphone,1.933713026
746,EN,1,3,2,2,0,0,1,1,1,0,3,1,1,1,0,1,1,0,1,2,1,1,4,2,4,1,1,1,1,1,0,1,1,1,0,5,1, , ,1, , , , , , , , , , , , , ,2,3,3,2,2,1,0,0,1,0,0,1,0,2,1,2,1,3,3,2,3,2,1,2,1,3,3,4,3, , , , , , ,1,2,2,1,1,1,1,1,2,2,1,0,1,0,0,0,2,1,1,1,2,1,4,1,3,0,0,1,1,0,1,1,0,1,1,0,3,2,2,1,2,3,2,1,2,3,2,2,3,1,1,0,0,0,1,0,0,2,3,2,4,1,1,2,17,10,1,3,2,5,1,4,1,2,2,0,0,0,1,1,20180408,13.46666667,2,2,Smartphone,0.190180044
747,EN,1,4,4,2,0,0,0,1,0,0,2,0,0,1,0,1,1,0,2,1,1,2,4,4,3,1,1,0,0,0,0,1,0,0,0, ,2, , , , , , , , ,1, , , , , , , ,4,3,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,2,2,3,2,2,1,1,1,2,4,3,3, , , , , , ,2,2,2,2,3,3,2,2,2,1,0,0,0,0,0,1,3,4,4,4,1,3,4,3,4, , , , , , , , , , , , , , , ,1,1,1,1,4,4,3,3,3,4,0,0,0,0,0,0,1,4,3,3,4,2,2,2,16,13,1,1,1,13,1,1,1,4,6,1,1,1,1,3,20180308,26.55,2,2,Desktop,0.921578727
748,EN,2,2,2,3,0,1,1,1,1,0,3,1,1,1,0,0,1,0,1,2,1,1,4,4,4,2,1,0,0,1,0,1,0,1,0,6,3, , , , , , , , , , , , , , , , ,4,2,2,2,3,0,0,0,0,0,0,0,1,2,3,2,2,3,2,3,3,2,1,1,1,2,4,2,4, , , , , , ,2,77,2,2,1,2,3,2,1,1,1,0,1,0,1,0,1,2,1,3,3,2,4,4,2,0,0,1,0,0,1,0,0,1,0,0,3,2,3,2,1,1,1,1,98,98,98,98,98,98,1,0,0,0,0,0,0,3,1,1,3,1,1,1,16,12,1,1,1,15,1,2,1,1,6,0,0,0,3,3,20180313,13.31666667,2,2,Desktop,0.490351841
751,EN,2,2,1,2,0,1,0,1,1,0,2,1,1,1,0,0,1,0,1,2,1,2,3,3,3,2,1,1,1,1,1,1,0,0,0,4,2, , , , , , , , , ,1, , , , , , ,2,4,2,2,4,1,1,1,0,1,0,1,0,2,3,2,2,3,1,2,1,1,2,1,2,3,2,2,2,1,1,1,1,1,0,1,2,3,1,1,1,3,1,1,2,0,0,0,0,0,1,3,3,1,2,2,1,2,1,1,0,1,0,0,0,1,1,0,1,1,0,1,3,2,2,1,1,1,1,2,4,2,3,4,3,1,1,1,0,1,0,0,2,1,1,4,1,1,2,17,9,1,1,2,4,1,3,1,2,5,0,0,0,1,4,20180317,17.83333333,2,2,Smartphone,0.555368803
759,EN,2,2,3,3,1,1,0,1,0,0,3,1,0,0,0,0,1,0,1,1,1,1,4,4,4,2,1,0,1,1,1,1,0,0,0,4,2, , , , , , , , , , , , ,1, , , ,1,3,3,2,3,1,1,1,0,0,1,1,0,3,2,3,2,2,2,1,1,2,2,1,2,4,4,4,2,1,0,0,1,1,0,77,4,3,3,1,1,3,2,2,2,1,0,0,0,1,0,2,4,1,4,2,1,2,2,2,0,1,0,0,0,1,0,0,0,1,0,3,3,3,3,1,2,1,1,4,4,4,3,4,4,1,0,1,0,1,1,0,2,1,4,2,1,3,2,16,13,1,1,2,10,1,2,1,3,4,0,0,1,1,2,20180317,18.86666667,2,2,Smartphone,0.353116083
764,EN,2,1,1,1,0,0,0,0,0,1,3,1,1,0,0,1,1,0,1,2,1,1,4,3,4,2,1,0,0,1,1,1,0,0,0,4,3, , , , , , , , , , , , , , , , ,4,3,2,4,3,1,1,1,0,0,0,0,0,2,3,2,3,3,3,3,3,2,2,1,2,2,4,1,3, , , , , , ,77,3,4,2,1,1,1,1,2,1,1,0,1,0,1,0,1,2,2,3,2,1,1,3,2,1,0,1,0,0,0,0,0,0,1,0,3,3,3,3,2,2,2,3,2,3,2,2,2,3,0,0,0,0,1,1,0,3,1,1,2,3,2,1,13,12,4,3,1,7,1,4,1,4,4,1,0,0,0,3,20180309,22.4,2,2,Smartphone,1.059724343
765,EN,2,4,1,2,0,0,0,0,0,1,2,1,1,1,1,0,1,0,1,2,1,1,3,3,4,1,1,0,1,0,1,1,0,0,0,4,2, , , , , , , ,1, , , , , , , , ,3,4,3,3,4,0,0,0,0,0,0,1,0,2,2,3,2,1,2,3,1,1,2,1,1,4,4,4,2,1,0,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,2,2,2,2,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1,2,1,2,3,3,3,3,3,1,1,1,0,1,1,0,4,1,3,3,2,2,2,16,9,1,1,1,13,1,4,1,2,5,0,0,2,1,2,20180322,9.05,2,2,Smartphone,0.622347849
767,EN,2,2,2,3,1,1,0,0,0,0,2,0,1,0,0,1,1,0,1,2,1,1,2,1,1,2,1,0,0,0,0,1,0,0,0, ,2, , , , , , , , , ,1, , , , , , ,3,1,4,4,1,0,0,0,0,0,0,0,1,3,1,3,3,2,2,1,1,2,1,1,1,4,4,3,3, , , , , , ,2,1,3,4,3,3,2,2,2,2,1,0,1,0,1,0,3,1,1,1,1,4,4,1,2,0,0,0,1,0,1,0,0,1,1,0,1,1,3,2,1,1,1,1,4,2,3,1,3,3,0,0,0,0,0,0,1,1,1,1,2,2,1,2,14,11,2,3,2,4,0,4,1,4,4,0,0,1,2,1,20180325,16.16666667,2,2,Smartphone,0.038996651
769,EN,2,4,2,3,0,1,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1,4,4,3,2,1,1,0,1,0,1,0,1,0,5,2, , , , , , , , , , ,1, , , , , ,3,3,3,2,4,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,2,2,2,4,2,1,0,1,0,0,0,2,2,2,2,2,3,2,1,1,1,0,0,0,0,0,1,2,2,3,4,4,3,4,4,2,0,0,1,0,1,1,0,0,1,0,0,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0,2,4,4,1,2,2,2,15,12,1,1,1,3,1,3,1,3,6,0,0,1,2,6,20180312,10.93333333,2,2,Desktop,0.928553638
771,EN,1,1,1,3,1,1,0,0,0,0,2,1,1,1,0,0,1,0,1,2,1,1,4,3,2,1,1,0,0,0,1,1,0,0,0,4,2, , , , , , , ,1, , , , , , , , ,3,2,2,1,2,1,0,0,0,0,0,1,0,2,1,1,2,1,1,2,1,2,2,2,1,4,3,1,3, , , , , , ,1,3,1,1,1,1,3,2,2,2,1,0,1,0,1,0,2,2,1,3,4,1,2,98,1,0,0,1,0,1,0,0,0,1,0,0,3,1,3,1,1,1,1,2,4,4,3,2,1,2,1,0,1,0,0,0,0,2,2,4,3,2,1,2,13,11,4,2,2,5,1,4,1,3,3,0,0,1,0,2,20180322,13.75,2,2,Smartphone,0.018457986
772,EN,1,4,1,2,0,0,0,1,0,0,2,1,1,0,0,1,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,4,1, , , , , ,1, , , , , , , , , , ,3,2,2,2,2,0,0,1,0,0,0,0,0,1,1,1,1,3,3,3,3,1,1,2,1,4,4,3,3, , , , , , ,1,2,1,1,1,1,1,2,2,2,1,0,0,0,0,0,1,2,1,4,2,1,1,2,4, , , , , , , , , , , , , , , ,1,2,2,3,2,4,4,2,4,4,0,0,0,0,0,0,1,1,1,4,1,1,1,1,13,10,1,1,2,8,0,4,0,2,3,0,0,0,1,2,20180327,9.966666667,2,2,Smartphone,0.807954012
786,EN,2,4,4,3,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1,1,1,1,4,3,4,1,1,1,1,0,0,1,0,0,0,5,3, , , , , , , , , , , , , , , , ,4,4,4,3,3,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,3,1,1,1,1,3,3,4,3, , , , , , ,1,3,2,3,1,3,1,2,1,2,1,0,1,0,0,0,3,1,1,3,3,3,3,4,2,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,4,4,3,1,2,1,0,0,0,0,0,0,1,3,2,4,2,1,1,1,15,10,1,1,1,6,1,3,1,3,4,0,0,0,2,2,20180406,15.2,2,2,Smartphone,0.413154435
787,EN,2,4,1,3,0,0,0,0,1,0,2,0,1,0,1,1,1,0,1,1,1,1,4,3,4,1,1,0,0,0,0,0,0,0,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,77,2,77,1, ,1,2, ,2,1,0,0,0,0,0,1,2,2,2,2,1,3,4,2,0,1,1,0,0,1,0,0,1,0,0,2,2,2,3,2,2,1,1,3,4,3,1,3,2,0,0,0,0,0,0,1,1,4,1,1,3,1,2,13,13,2,1,1,10,1,4,1,3,6,0,0,2,1,3,20180325,7.433333333,2,2,Smartphone,0.283674235
790,EN,2,2,3,3,0,0,0,1,1,0,2,1,0,1,0,1,1,0,1,2,1,2,4,3,3,2,1,0,1,1,0,1,0,0,0,2,2, , , , , , , , , , ,1, , , , , ,4,2,2,4,4,1,0,0,0,0,0,0,0,3,1,3,3,3,2,3,3,1,1,2,1,4,4,4,3, , , , , , ,2,4,2,1,3,3,3,1,1,1,0,1,0,1,0,0,3,2,2,4,4,3,4,3,4, , , , , , , , , , , , , , , ,1,1,1,1,3,4,2,2,1,2,0,0,0,0,0,0,1,3,1,1,3,1,2,1,17,13,1,1,1,14,1,1,0,1,5,2,0,0,0,3,20180329,18.93333333,2,2,Smartphone,0.753542549
792,EN,2,1,1,3,0,0,1,0,0,0,4,1,1,1,0,0,1,0,1,2,1,1,4,4,4,2,1,0,1,1,0,0,0,0,0,2,3, , , , , , , , , , , , , , , , ,3,3,3,2,3,1,0,0,0,0,0,0,0,2,2,1,2,3,2,3,3,1,1,2,1,3,2,2,3, , , , , , ,1,3,1,1,3,3,3,2,2,1,1,0,0,0,0,0,1,2,2,3,3,1,3,3,3,0,0,0,0,1,0,0,0,1,0,0,3,3,2,2,2,2,2,2,3,3,3,2,2,3,0,0,0,0,0,0,1,4,4,2,3,2,3,1,17,13,1,3,1,14,1,4,1,3,6,0,1,2,1,2,20180308,41.53333333,2,2,Desktop,0.472510116
796,EN,2,1,2,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,1,1,1,4,4,4,1,1,0,0,1,1,0,0,0,0,3,3, , , , , , , , , , , , , , , , ,2,3,4,2,4,0,0,0,0,0,0,0,1,1,2,1,2,3,2,3,3,1,1,2,1,1,2,2,1,1,1,0,1,0,0,1,3,2,1,3,3,3,2,2,2,1,0,0,0,0,0,1,2,1,3,2,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,0,0,0,0,2,1,2,2,1,1,1,16,10,2,1,1,6,1,2,1,2,5,0,0,2,1,2,20180308,11.75,2,2,Smartphone,0.411998491
798,EN,1,4,4,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,2,1,1,1,4,4,4,3,1,0,0,0,0,1,0,0,0, ,3, , , , , , , , , , , , , , , , ,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,1,1,4,4,4,4, , , , , , ,77,77,2,77,3,3,3,2,2,2,0,0,0,0,0,1,4,4,4,4,4,4,4,3,4, , , , , , , , , , , , , , , ,2,2,2,2,4,3,2,2,2,3,0,0,0,0,0,0,1,3,2,3,3,3,2,1,17,13,1,1,1,12,1,1,1,4,3,0,0,0,1,2,20180307,9.4,2,2,Desktop,0.426401696
801,EN,2,4,1,2,0,0,1,0,1,0,2,1,1,0,1,1,0,0,1,2,1,1,4,4,4,1,1,1,1,1,1,1,0,0,0,2,3, , , , , , , , , , , , , , , , ,3,3,2,2,3,1,1,0,0,0,0,1,0,1,2,2,1,3,2,3,3,1,1,2,1,2,4,4,2,1,0,0,1,0,0,1,2,1,1,1,3,2,2,1,1,1,0,0,0,1,0,1,2,1,4,3,1,4,2,3,0,1,1,1,0,1,1,0,0,1,0,3,3,3,2,1,1,1,1,3,4,4,2,4,3,1,0,1,0,1,0,0,2,1,1,2,1,1,1,14,11,4,3,2,7,1,4,0,2,6,1,0,1,1,3,20180309,11.65,2,2,Smartphone,0.602388619
806,EN,1,3,4,2,0,0,0,0,0,1,1, , , , , , , ,2,2,1,1,4,4,3,3,1,0,0,0,0,0,0,0,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2, , ,1, , ,1, , , , , , , , , , , , , ,3,2,0,0,1,0,0,0,0,0,0,0,0,3,3,3,2,2,2,1,1,3,2,2,1,2,2,0,0,0,0,0,0,0,3,2,3,4,1,2,1,13,9,1,1,1,9,1,4,0,2,5,0,0,2,1,2,20180322,23.41666667,2,2,Smartphone,0.811338454
810,EN,1,1,1,3,1,0,0,1,0,0,2,1,0,0,0,0,1,0,2,2,1,1,4,4,3,2,1,0,0,0,0,0,0,0,1, ,2, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3, , ,3, , ,1, , , , , , , , , , , , , ,2,4, , , , , , , , , , , , , , , ,1,1,2,1,3,3,1,2,2,3,0,0,0,0,0,0,1,4,2,1,4,2,2,2,13,11,1,1,2,10,1,3,0,1,3,0,0,1,1,1,20180308,19.41666667,2,2,Smartphone,1.680477455
814,EN,1,1,1,2,0,0,0,1,1,0,3,1,1,1,0,1,1,0,1,2,1,1,4,3,2,2,1,1,1,1,1,1,0,0,0,4,2, , , , , , , , , , , , , , ,98, ,2,3,2,2,4,1,0,1,0,0,0,1,0,2,2,2,2,2,1,3,2,1,1,1,1,2,1,4,2,1,1,0,1,1,0,3,3,1,2,1,1,3,1,2,1,1,0,1,0,1,0,2,2,2,3,2,1,2,2,2,1,0,1,0,0,1,0,0,0,0,0,1,2,2,2,1,1,1,1,3,3,1,1,3,2,0,0,1,0,0,0,0,1,1,1,4,1,1,2,14,13,1,1,1,16,1,4,1,2,4,0,0,1,1,2,20180309,12.06666667,2,2,Smartphone,0.337701688
816,EN,2,2,1,2,1,0,0,1,1,0,3,1,1,1,0,0,1,0,1,1,1,2,4,3,4,1,1,0,1,0,0,1,0,0,0,2,1,1, , , , , , , , , , , , , , , ,2,3,3,2,4,1,0,0,0,1,0,1,0,3,1,2,2,3,3,3,2,1,1,2,1,4,4,4,3, , , , , , ,3,3,1,1,1,1,3,1,1,2,1,1,0,1,0,0,1,1,1,3,2,1,4,3,3,1,0,1,0,0,0,0,0,1,0,0,2,2,2,1,1,1,2,1,4,4,3,2,2,2,0,0,0,0,0,0,1,2,1,1,4,1,2,1,17,12,4,1,1,16,1,3,1,2,6,1,0,2,1,3,20180408,14,2,2,Smartphone,0.863426527
817,EN,1,2,1,2,0,0,1,0,1,0,2,1,0,0,0,0,1,0,1,2,1,1,4,4,4,2,1,0,1,0,1,0,0,0,0,2,1, , , , , , , , , , , , , , ,98, ,4,4,2,4,4,1,0,1,0,0,0,0,0,3,3,2,2,3,3,3,3,2,1,2,1,4,4,4,2,0,0,0,0,0,1,2,3,1,2,1,1,3,2,2,1,0,0,0,0,0,1,2,3,2,3,1,2,4,4,4, , , , , , , , , , , , , , , ,1,2,2,1,3,3,2,2,3,2,0,0,0,0,0,0,1,2,1,1,4,1,2,1,17,12,1,2,1,13,1,3,1,1,4,0,0,1,1,2,20180308,14.28333333,2,2,Desktop,0.727873165
824,EN,1,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,1,2,1,4,1,4,1,1,0,1,1,1,1,0,0,0,5,1, , , ,1, , , , , , , , , , , , ,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,3,3,3,1,1,2,1,1,4,4,3, , , , , , ,1,1,1,1,3,3,1,1,1,1,0,0,0,0,0,1,1,1,2,4,1,1,1,4,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,0,1,0,0,1,0,3,1,4,4,1,1,1,14,10,2,3,2,5,1,4,1,2,6,0,1,2,3,1,20180408,30.11666667,2,2,Smartphone,0.202585655
826,EN,1,4,1,2,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,98,1,1,4,4,4,3,1,0,1,1,1,1,0,0,0,2,3, , , , , , , , , , , , , , , , ,4,2,3,3,4,0,0,0,0,0,0,0,1,3,2,2,3,3,1,3,3,1,2,2,2,4,4,2,3, , , , , , ,4,4,4,3,2,2,1,2,2,2,0,0,0,0,0,1,2,2,2,1,3,4,2,2,2,0,0,1,0,0,1,0,0,0,0,0,3,1,3,2,2,1,2,1,4,4,3,3,4,4,0,0,0,0,0,0,1,2,3,3,1,3,1,1,15,10,4,1,1,10,1,4,1,4,5,0,2,0,1,2,20180309,20.93333333,2,2,Smartphone,0.410057245
832,EN,2,2,2,3,0,0,0,0,0,1,2,1,0,1,0,0,1,0,1,2,1,1,4,4,4,2,2,0,0,0,0,1,0,0,0, ,3, , , , , , , , , , , , , , , , ,4,3,4,2,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,2,1,4,4,4,4, , , , , , ,77,3,1,1,3,2, ,1,1, ,0,0,0,0,0,1,2,2,2,4,3,1,4,1,4, , , , , , , , , , , , , , , ,1,1,2,2,1,1,1,1,2,1,1,0,1,0,0,1,0,4,1,4,4,4,2,2,13,12,3,1,1,12,1,4,1,4,6,1,0,1,1,4,20180325,13.81666667,2,2,Desktop,2.13214767
845,EN,2,4,2,2,0,1,1,1,1,0,2,1,1,1,0,0,1,0,1,1,1,1,4,1,4,2,1,0,1,1,1,1,0,1,0,5,1,1, , , , , , , , , , , , , , , ,1,4,2,2,3,1,1,1,0,0,1,0,0,2,1,1,2,3,2,2,2,1,1,2,1,1,4,4,1,0,0,0,1,1,0,2,3,2,2,1,3,3,1,1,1,0,0,0,0,0,1,2,2,1,2,2,1,3,1,2,1,1,0,0,1,1,1,0,1,1,0,3,3,2,2,2,2,1,1,4,4,4,2,3,4,0,0,0,0,0,0,1,3,1,1,4,1,2,2,16,13,1,1,1,15,1,2,0,2,4,0,0,0,2,2,20180308,14.68333333,2,2,Smartphone,1.246152884
850,EN,1,1,1,3,0,1,0,0,0,0,2,0,1,1,0,0,1,0,1,2,1,1,4,4,4,1,1,0,1,0,1,1,0,0,0,4,1, , , , , , ,1, , , , , , , , , ,2,2,2,1,2,1,0,1,0,0,0,0,0,1,1,1,1,3,3,2,1,1,1,2,1,4,3,4,2,1,0,0,1,0,0,2,2,2,2,1,1,1,2,2,1,0,0,0,0,0,1,1,2,2,3,1,2,3,2,2,1,1,1,0,0,1,0,0,1,0,0,3,2,2,2,1,1,1,1,3,3,2,2,2,3,1,0,0,0,0,0,0,3,1,1,4,1,1,1,13,12,4,1,1,17,1,2,1,4,4,0,0,0,2,2,20180402,9.483333333,2,2,Desktop,0.571668958
858,EN,2,2,2,2,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,2,2,3,1,1,0,1,1,1,1,0,0,0,4,1,1, , ,1, , , , , , , , , , , , ,3,2,2,2,2,1,0,0,0,0,1,0,0,1,1,1,1,2,1,2,2,2,1,2,1,2,2,4,3, , , , , , ,1,3,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,2,2,2,3,3,2,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,2,1,2,2,2,4,3,3,4,2,1,1,1,0,1,1,0,3,2,1,3,1,4,1,15,10,1,4,1,10,1,4,1,4,5,2,0,1,0,2,20180308,12.33333333,2,2,Smartphone,0.449289356
868,EN,2,3,2,2,0,0,0,1,0,0,2,1,0,1,0,1,0,0,1,2,1,2,4,3,3,2,1,0,0,0,1,1,0,0,0,5,1,1, , , , ,1, , , , , , , , , , ,4,4,4,2,4,0,0,0,0,0,0,0,1,2,1,1,2,2,3,3,3,2,2,2,2,3,3,4,3, , , , , , ,1,3,1,1,1,3,3,1,1,1,1,0,0,0,0,0,2,1,1,3,1,3,4,3,4, , , , , , , , , , , , , , , ,2,2,1,2,2,4,4,2,2,3,1,0,1,1,1,1,0,3,1,3,1,1,2,1,16,11,3,2,2,11,1,4,1,4,6,0,0,1,2,4,20180308,35.51666667,2,2,Smartphone,0.582196065
874,EN,2,4,2,3,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,2,1,1,4,1,4,1,1,1,1,0,1,1,0,0,0,5,3, , , , , , , , , , , , , , , , ,3,2,3,2,4,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,1,1,2,1,2,4,4,3, , , , , , ,2,2,3,2,1,1,3,1,1,1,0,0,0,0,1,0,1,2,4,3,2,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,1,1,1,3,4,3,3,4,4,0,0,0,0,0,0,1,3,1,1,2,1,1,2,16,11,2,1,1,9,1,4,1,3,2,0,0,0,1,1,20180307,10.8,2,2,Smartphone,0.464124656
875,EN,2,2,1,3,0,0,1,0,0,0,2,1,1,1,0,1,1,0,1,2,1,1,4,3,4,1,1,1,1,1,0,1,0,0,0,2,2, , , , , , , , , , , , , ,1, , ,4,4,3,2,4,0,0,1,0,0,0,0,0,3,2,2,2,3,3,3,3,1,1,2,1,4,4,4,2,1,0,0,0,1,0,2,77,2,4,3,3,3,2,2,2,0,0,0,0,0,1,1,2,2,4,3,2,4,4,3,1,0,1,0,0,0,0,0,0,0,0,3,3,3,3,2,1,1,1,4,4,4,4,1,4,0,0,0,0,0,0,1,4,3,4,1,2,1,1,15,12,1,1,1,12,1,2,1,3,6,0,0,1,2,5,20180308,22.83333333,2,2,Desktop,0.548684337
882,EN,1,3,2,2,0,0,0,1,0,0,2,1,0,0,0,1,1,0,1,2,2,1,3,4,3,1,1,1,1,1,1,1,0,0,0,3,3, , , , , , , , , , , , , , , , ,2,2,1,2,2,1,0,0,0,0,0,1,0,1,2,1,2,3,2,3,3,1,1,2,1,3,3,3,3, , , , , , ,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,1,1,1,3,3,2,4,3,3,0,1,1,0,0,1,0,0,1,0,0,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,0,0,0,0,0,0,1,1,3,2,1,2,2,13,9,1,3,2,11,0,4,1,4,5,0,1,0,1,3,20180322,13.4,2,2,Smartphone,0.969504642
883,EN,2,3,1,3,0,1,0,1,0,0,2,0,1,1,0,0,1,0,1,1,1,1,4,3,3,2,1,0,1,1,0,1,0,0,0,3,3, , , , , , , , , , , , , , , , ,3,2,4,2,4,0,0,0,0,0,0,0,1,3,2,2,3,3,3,2,2,98,98,98,98,2,3,2,3, , , , , , ,3,4,4,3,3,3,3,2,2,2,0,0,0,0,0,1,2,2,1,2,1,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,1,1,1,4,4,4,3,3,3,0,0,0,0,0,0,1,3,3,2,3,2,2,2,16,12,1,1,1,11,1,4,1,3,4,0,1,0,1,2,20180309,33.2,2,2,Smartphone,0.388181656
885,EN,2,4,4,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,2,1,1,4,4,4,2,1,0,0,0,0,1,0,0,0, ,3, , , , , , , , , , , , , , , , ,4,4,4,4,4,0,0,0,0,0,0,0,1,3,2,3,3,3,2,3,3,1,1,2,1,2,4,4,3, , , , , , ,3,3,3,3,1,1,3,1,1,2,0,0,0,0,0,1,2,2,1,3,1,1,2,3,2,0,0,0,0,0,1,0,0,0,0,0,3,3,2,2,2,2,2,2,3,4,4,3,3,3,0,0,0,0,0,0,1,4,2,3,2,2,3,2,16,11,1,1,1,8,0,4,1,2,6,0,0,2,2,2,20180308,33.83333333,2,2,Smartphone,0.311839961
888,EN,1,2,1,3,0,1,1,1,1,0,2,1,1,0,0,0,1,0,1,1,1,1,4,2,4,2,1,0,1,0,0,1,0,0,0,5,2, , , , , , , , ,1, , , , , , , ,4,2,2,2,4,1,0,1,0,0,1,0,0,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,3,3,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,3,3,1,3,2,2,2,2,2,1,0,1,0,1,0,0,2,1,4,1,1,2,1,15,14,1,1,1,13,1,2,1,3,5,0,0,1,2,2,20180316,9.8,2,2,Desktop,1.061174356
